3.30,46.37474554
3.45,52.56108662
3.60,59.59503193
3.75,67.60964121
3.90,76.75750434
4.05,87.21332427
4.20,99.1769551
4.35,112.876987
4.50,128.5749827
4.65,146.5704858
4.80,167.2069383
4.95,190.8786648
5.10,218.0391025
5.25,249.2104837
5.40,284.9952046
5.55,326.0891533
5.70,373.2973052
5.85,427.5519457
6.00,489.9339312
6.15,561.6974663
6.30,644.2989471
6.45,739.4305104
6.60,849.0590285
6.75,975.4714074
6.90,1121.327189
7.05,1289.719613
7.20,1484.24649
7.35,1709.092448
7.50,1969.124384
7.65,2270.002225
7.80,2618.307489
7.95,3021.692484
8.10,3489.053516
